area,rooms,bathrooms,wilaya,municipality,property_type,floor,is_furnished,has_elevator,rent_type,amenities,price
83,3,2,Algiers,Hydra,Apartment,5,1,1,daily,"Elevator,Heating,Garden,Security 24/7",12200
50,1,1,Oran,Akid Lotfi,Studio,0,0,1,daily,"Pool,Heating,Security 24/7,Air Conditioning,Elevator",2200
111,4,3,M'Sila,Boussaada,Apartment,8,0,0,monthly,"Wifi,Heating,Security 24/7",35500
111,2,2,Setif,Setif City,Apartment,7,1,0,monthly,"Parking,Wifi,Elevator,Security 24/7,Garden",66500
124,5,1,Constantine,El Khroub,Apartment,2,1,1,monthly,"Parking,Wifi,Elevator,Security 24/7,Air Conditioning,Garden",127000
90,5,2,Oran,Akid Lotfi,Apartment,8,1,0,monthly,"Parking,Heating,Security 24/7,Air Conditioning,Elevator",106500
43,1,3,Algiers,El Biar,Studio,0,0,1,monthly,"Pool,Parking,Heating,Wifi,Air Conditioning",33500
119,3,3,Algiers,Hydra,Apartment,4,1,0,monthly,Wifi,140500
41,1,3,Oran,Oran City,Studio,4,0,1,monthly,"Garden,Air Conditioning,Heating",24500
496,8,2,Oran,Oran City,Villa,0,0,0,daily,"Parking,Pool,Wifi,Elevator",40300
31,1,3,Setif,Ain Arnat,Studio,4,0,1,monthly,"Elevator,Garden,Security 24/7",15000
89,3,3,Oran,Akid Lotfi,Apartment,5,0,0,monthly,"Garden,Wifi,Security 24/7,Air Conditioning,Elevator",61000
152,4,3,Oran,Es Senia,Apartment,5,0,1,monthly,"Wifi,Elevator",107500
140,2,3,Algiers,Sidi M'Hamed,Apartment,2,0,1,monthly,"Heating,Air Conditioning,Garden,Elevator",109000
77,2,3,M'Sila,M'Sila City,Apartment,8,0,1,monthly,"Parking,Heating,Air Conditioning,Elevator",25500
117,3,3,Oran,Es Senia,Apartment,6,1,0,daily,"Parking,Security 24/7",10700
39,1,3,Algiers,Hydra,Studio,0,0,1,monthly,"Parking,Wifi,Security 24/7",29500
61,3,1,M'Sila,M'Sila City,Apartment,7,1,0,monthly,"Wifi,Pool,Air Conditioning,Garden",33000
152,4,3,Constantine,Ali Mendjeli,Apartment,4,0,1,monthly,"Garden,Air Conditioning,Wifi,Elevator",93000
123,2,2,M'Sila,Boussaada,Apartment,6,0,1,monthly,Elevator,38000
497,8,1,Constantine,Ali Mendjeli,Villa,0,0,1,monthly,"Heating,Air Conditioning,Wifi",310000
134,2,3,Oran,Bir El Djir,Apartment,5,1,0,monthly,"Pool,Parking,Elevator,Security 24/7",110000
46,1,1,Setif,Ain Arnat,Studio,4,1,0,monthly,"Air Conditioning,Parking,Pool,Elevator",21500
109,5,3,Constantine,Ali Mendjeli,Apartment,0,1,1,daily,"Garden,Parking,Wifi,Elevator",8400
126,3,1,Setif,El Eulma,Apartment,0,1,0,daily,Pool,7200
81,2,2,Oran,Akid Lotfi,Apartment,3,1,0,monthly,Elevator,82500
79,4,1,Oran,Oran City,Apartment,1,0,1,monthly,"Parking,Heating,Elevator",69000
69,3,3,M'Sila,M'Sila City,Apartment,4,1,1,monthly,"Heating,Elevator",50000
104,5,2,M'Sila,Boussaada,Apartment,3,1,0,monthly,"Pool,Wifi,Security 24/7",73000
73,2,3,M'Sila,Magra,Apartment,6,0,0,monthly,"Air Conditioning,Pool,Heating,Elevator",22000
48,1,3,Setif,Ain Arnat,Studio,2,0,0,monthly,"Air Conditioning,Security 24/7",23500
30,1,2,Setif,Setif City,Studio,3,0,0,monthly,"Parking,Elevator",15000
128,4,1,Setif,El Eulma,Apartment,3,1,0,monthly,"Parking,Air Conditioning,Garden",105500
145,4,3,M'Sila,Magra,Apartment,2,0,1,monthly,"Elevator,Heating,Security 24/7",58000
137,4,3,Setif,El Eulma,Apartment,9,0,0,monthly,"Garden,Pool,Heating,Elevator",64500
39,1,2,Setif,Setif City,Studio,1,1,1,daily,"Pool,Parking,Elevator,Air Conditioning,Garden",1500
108,4,3,M'Sila,M'Sila City,Apartment,9,0,1,monthly,"Pool,Garden,Elevator",48500
151,2,3,M'Sila,Magra,Apartment,2,0,1,monthly,"Parking,Air Conditioning,Pool,Elevator",49500
97,5,1,Constantine,Constantine City,Apartment,6,0,0,monthly,Elevator,64000
76,5,2,M'Sila,Magra,Apartment,5,0,0,monthly,"Air Conditioning,Garden",35000
45,1,2,Setif,El Eulma,Studio,3,0,1,monthly,"Parking,Pool,Garden,Elevator",22000
31,1,2,Setif,Ain Arnat,Studio,1,0,0,daily,"Wifi,Elevator",1500
52,1,1,Constantine,El Khroub,Studio,1,0,0,monthly,Garden,25500
113,3,2,Oran,Es Senia,Apartment,2,0,1,monthly,"Parking,Pool,Garden,Elevator",82500
157,2,1,M'Sila,M'Sila City,Apartment,7,0,1,monthly,"Air Conditioning,Elevator",50000
146,2,3,Oran,Bir El Djir,Apartment,9,0,0,monthly,"Wifi,Security 24/7",79500
71,4,3,M'Sila,M'Sila City,Apartment,5,0,0,monthly,"Air Conditioning,Security 24/7",29500
136,2,1,Setif,Setif City,Apartment,8,1,0,daily,Security 24/7,5300
85,3,3,Oran,Akid Lotfi,Apartment,8,0,0,monthly,"Air Conditioning,Security 24/7",59000
157,5,2,M'Sila,Boussaada,Apartment,2,1,1,monthly,"Pool,Parking,Security 24/7,Air Conditioning,Elevator",87500
122,5,3,Oran,Oran City,Apartment,1,1,0,monthly,"Garden,Heating,Security 24/7,Air Conditioning,Elevator",149000
151,5,3,Setif,Ain Arnat,Apartment,0,1,0,monthly,"Parking,Air Conditioning,Pool,Elevator",126500
81,5,3,Constantine,El Khroub,Apartment,2,0,1,monthly,"Parking,Heating,Security 24/7,Air Conditioning,Elevator",61000
156,2,3,Constantine,Ali Mendjeli,Apartment,8,0,0,monthly,"Pool,Heating,Wifi,Security 24/7,Garden",74000
90,2,1,Setif,El Eulma,Apartment,9,0,0,monthly,"Pool,Wifi,Elevator,Air Conditioning,Garden",36500
33,1,1,Oran,Oran City,Studio,4,0,1,monthly,"Air Conditioning,Garden,Security 24/7",20500
60,5,1,Constantine,Constantine City,Apartment,8,0,1,monthly,"Elevator,Garden,Security 24/7",57000
163,4,3,Oran,Bir El Djir,Apartment,1,0,0,monthly,"Pool,Parking,Wifi,Elevator,Garden",110000
119,5,1,Oran,Oran City,Apartment,3,0,0,monthly,"Parking,Air Conditioning,Heating,Security 24/7",99500
439,5,1,Oran,Oran City,Villa,0,1,0,daily,Pool,39400
132,5,3,Constantine,Constantine City,Apartment,6,0,1,monthly,"Parking,Wifi,Elevator,Air Conditioning,Garden",88000
61,2,2,Oran,Es Senia,Apartment,9,0,1,monthly,"Wifi,Parking,Heating,Elevator",47000
75,5,3,M'Sila,Boussaada,Apartment,7,1,0,monthly,Heating,52500
142,3,2,Setif,Setif City,Apartment,0,0,0,monthly,"Heating,Elevator,Security 24/7",71500
134,3,2,Algiers,Zeralda,Apartment,2,0,1,monthly,"Garden,Pool,Wifi,Elevator",119500
131,5,3,Algiers,Hydra,Apartment,5,0,0,daily,"Garden,Air Conditioning,Heating",10800
96,2,2,Constantine,Ali Mendjeli,Apartment,0,0,0,monthly,"Parking,Elevator,Security 24/7,Air Conditioning,Garden",53000
42,1,2,Oran,Oran City,Studio,1,1,1,monthly,"Garden,Parking,Elevator",38500
138,5,1,Algiers,Sidi M'Hamed,Apartment,8,0,1,monthly,"Parking,Heating,Elevator,Air Conditioning,Garden",142500
81,4,2,Constantine,Ali Mendjeli,Apartment,4,1,1,monthly,"Heating,Elevator",88500
79,5,1,Algiers,Hydra,Apartment,2,0,1,daily,"Heating,Parking,Garden,Elevator",8000
87,3,1,Setif,Setif City,Apartment,8,1,1,monthly,"Parking,Elevator",75500
258,5,2,Constantine,Constantine City,Villa,0,1,0,monthly,"Heating,Parking,Wifi,Garden",283500
38,1,1,M'Sila,Boussaada,Studio,4,1,1,daily,"Garden,Heating,Wifi,Security 24/7",2100
130,4,2,Algiers,Sidi M'Hamed,Apartment,5,0,0,monthly,"Pool,Wifi,Heating,Air Conditioning,Garden",107500
73,4,2,Oran,Akid Lotfi,Apartment,8,1,1,monthly,"Elevator,Air Conditioning,Heating,Security 24/7",96000
96,2,1,Algiers,Bab Ezzouar,Apartment,2,0,0,daily,"Air Conditioning,Heating",10600
137,5,1,Oran,Oran City,Apartment,6,0,1,monthly,"Elevator,Security 24/7",106500
129,4,2,Algiers,Sidi M'Hamed,Apartment,1,0,0,monthly,"Parking,Heating,Security 24/7,Air Conditioning,Garden",123500
146,2,1,Constantine,Ali Mendjeli,Apartment,1,0,0,monthly,"Parking,Wifi,Security 24/7",75000
130,3,3,M'Sila,Boussaada,Apartment,1,1,0,monthly,"Heating,Security 24/7",68000
118,3,1,Setif,Ain Arnat,Apartment,9,0,1,monthly,"Elevator,Garden,Security 24/7",60500
97,2,1,Oran,Bir El Djir,Apartment,7,0,1,monthly,"Garden,Elevator",60000
114,2,2,Oran,Akid Lotfi,Apartment,7,0,0,monthly,"Pool,Elevator",64000
47,1,2,Constantine,Ali Mendjeli,Studio,2,0,0,monthly,"Parking,Wifi,Heating,Security 24/7,Garden",22000
310,5,3,M'Sila,M'Sila City,Villa,0,1,0,monthly,Air Conditioning,195500
297,7,3,Oran,Akid Lotfi,Villa,0,1,0,monthly,Wifi,387000
92,3,2,Setif,Setif City,Apartment,8,0,0,monthly,"Pool,Wifi,Security 24/7",49000
137,5,3,M'Sila,Magra,Apartment,1,1,0,daily,"Parking,Heating,Elevator,Air Conditioning,Garden",5100
41,1,2,M'Sila,M'Sila City,Studio,2,0,0,monthly,"Pool,Heating,Wifi,Air Conditioning,Elevator",15000
78,3,1,Setif,Setif City,Apartment,3,1,0,monthly,"Parking,Wifi,Heating,Security 24/7,Air Conditioning",68500
80,5,3,Setif,El Eulma,Apartment,4,1,1,monthly,"Elevator,Wifi,Security 24/7",85000
76,4,2,Oran,Oran City,Apartment,2,0,0,monthly,"Garden,Elevator",65000
110,4,1,Algiers,Hydra,Apartment,8,1,0,monthly,"Heating,Security 24/7",146500
45,1,2,M'Sila,Magra,Studio,4,1,1,monthly,Garden,22000
97,5,1,Oran,Es Senia,Apartment,2,0,1,monthly,"Pool,Parking,Wifi,Air Conditioning,Elevator",85000
155,5,1,Oran,Es Senia,Apartment,9,0,1,monthly,"Parking,Elevator,Security 24/7",114500
92,2,1,Algiers,Zeralda,Apartment,1,1,0,daily,"Pool,Elevator",11600
42,1,2,Oran,Akid Lotfi,Studio,4,1,1,daily,"Heating,Elevator,Garden",3800
142,2,1,Constantine,Ali Mendjeli,Apartment,2,1,0,monthly,"Wifi,Security 24/7",103000
85,3,1,M'Sila,Boussaada,Apartment,7,0,0,monthly,"Pool,Parking,Wifi,Security 24/7,Air Conditioning",34000
66,5,1,Oran,Akid Lotfi,Apartment,2,0,1,daily,"Heating,Elevator",5700
35,1,1,Constantine,Constantine City,Studio,4,0,1,monthly,"Heating,Elevator",19000
376,5,1,M'Sila,M'Sila City,Villa,0,1,0,monthly,"Garden,Wifi",228000
37,1,2,Algiers,Bab Ezzouar,Studio,2,1,1,daily,"Wifi,Garden,Heating,Elevator",2300
45,1,1,Constantine,Ali Mendjeli,Studio,2,1,0,monthly,Garden,30500
128,3,1,M'Sila,Boussaada,Apartment,9,0,1,monthly,"Pool,Parking,Wifi,Elevator",43500
130,4,1,M'Sila,Magra,Apartment,1,1,1,monthly,"Elevator,Garden,Heating,Security 24/7",72000
89,5,3,Setif,Ain Arnat,Apartment,2,1,1,monthly,"Heating,Wifi,Security 24/7,Air Conditioning,Elevator",89500
76,3,3,M'Sila,M'Sila City,Apartment,4,1,1,monthly,"Parking,Wifi,Heating,Elevator,Garden",48000
125,2,1,M'Sila,M'Sila City,Apartment,6,1,1,monthly,"Pool,Wifi,Elevator",61500
76,2,1,Constantine,Ali Mendjeli,Apartment,9,0,0,daily,"Heating,Garden,Security 24/7",3200
39,1,1,Constantine,Ali Mendjeli,Studio,1,0,0,daily,"Heating,Air Conditioning,Elevator,Garden",2500
124,2,1,Algiers,Hydra,Apartment,2,1,0,monthly,Parking,153500
129,4,1,Constantine,Constantine City,Apartment,4,0,0,monthly,"Garden,Parking,Wifi",71000
159,4,2,Setif,Setif City,Apartment,0,0,1,monthly,"Pool,Parking,Heating,Elevator,Air Conditioning,Garden",85500
464,4,3,Constantine,Constantine City,Villa,0,0,1,monthly,Pool,272500
74,5,1,Algiers,Sidi M'Hamed,Apartment,7,0,0,monthly,"Pool,Air Conditioning,Garden",89000
121,4,2,Oran,Bir El Djir,Apartment,5,0,1,monthly,"Garden,Elevator,Security 24/7",91500
68,4,1,M'Sila,Boussaada,Apartment,8,0,0,monthly,"Garden,Wifi,Security 24/7",28500
107,5,2,Setif,Ain Arnat,Apartment,5,0,0,monthly,Wifi,55500
76,5,2,Oran,Oran City,Apartment,6,1,0,daily,"Parking,Wifi",13600
62,3,1,Oran,Oran City,Apartment,5,1,0,monthly,Wifi,69500
150,2,2,Setif,Ain Arnat,Apartment,2,0,1,monthly,"Parking,Wifi,Heating,Air Conditioning,Elevator",66500
105,3,2,M'Sila,Boussaada,Apartment,5,1,1,monthly,"Pool,Garden,Elevator",61500
117,5,1,Setif,El Eulma,Apartment,7,1,0,daily,Elevator,9700
149,4,1,Constantine,Ali Mendjeli,Apartment,6,0,1,monthly,"Wifi,Parking,Elevator",89500
98,2,1,Oran,Akid Lotfi,Apartment,5,1,0,monthly,"Pool,Air Conditioning",90000
312,5,2,M'Sila,Boussaada,Villa,0,1,0,monthly,"Wifi,Heating",200500
72,2,3,Setif,El Eulma,Apartment,4,1,0,monthly,"Pool,Wifi,Security 24/7,Air Conditioning,Garden",53000
151,3,1,Constantine,El Khroub,Apartment,4,1,1,monthly,"Pool,Parking,Wifi,Elevator,Garden",132000
156,2,1,Algiers,Zeralda,Apartment,6,1,1,daily,"Pool,Air Conditioning,Elevator",14300
141,3,1,M'Sila,Magra,Apartment,9,0,1,monthly,"Elevator,Garden,Security 24/7",53500
409,7,1,Oran,Oran City,Villa,0,0,0,monthly,"Pool,Air Conditioning,Security 24/7",315500
97,3,3,Setif,El Eulma,Apartment,9,0,1,monthly,"Pool,Parking,Heating,Wifi,Air Conditioning,Elevator",54000
153,3,1,Algiers,El Biar,Apartment,9,0,1,monthly,"Wifi,Air Conditioning,Garden,Elevator",127000
156,2,1,M'Sila,Magra,Apartment,8,0,0,monthly,"Air Conditioning,Parking,Wifi,Elevator",45500
86,2,2,Oran,Bir El Djir,Apartment,6,1,1,monthly,"Garden,Elevator",91000
329,8,3,Oran,Es Senia,Villa,0,0,1,monthly,Garden,284500
104,3,3,Setif,Ain Arnat,Apartment,0,0,1,monthly,"Elevator,Air Conditioning,Heating,Security 24/7",52500
397,6,3,Algiers,Zeralda,Villa,0,1,0,monthly,"Parking,Security 24/7",596000
32,1,3,M'Sila,Boussaada,Studio,1,1,0,monthly,"Wifi,Pool,Elevator,Security 24/7",16000
117,4,2,M'Sila,M'Sila City,Apartment,0,0,0,monthly,"Wifi,Pool,Air Conditioning,Elevator",48000
103,4,1,Oran,Bir El Djir,Apartment,6,0,1,monthly,"Pool,Heating,Elevator,Security 24/7,Air Conditioning,Garden",79500
156,4,2,M'Sila,Magra,Apartment,9,1,0,monthly,Security 24/7,74500
285,5,2,M'Sila,M'Sila City,Villa,0,1,0,monthly,"Garden,Parking,Heating,Security 24/7,Elevator",191000
74,3,2,Constantine,Ali Mendjeli,Apartment,7,1,0,monthly,Garden,69000
47,1,2,Constantine,Constantine City,Studio,1,0,0,monthly,"Garden,Wifi,Heating,Air Conditioning,Elevator",19000
28,1,3,Constantine,El Khroub,Studio,2,0,1,daily,"Heating,Garden",1600
103,5,1,Algiers,Hydra,Apartment,1,0,0,monthly,"Pool,Wifi,Heating,Security 24/7,Elevator",116000
114,4,3,Constantine,Ali Mendjeli,Apartment,2,0,1,monthly,"Heating,Pool,Elevator,Security 24/7",72500
111,3,3,Oran,Akid Lotfi,Apartment,5,0,1,monthly,"Wifi,Garden,Elevator",80500
32,1,3,Setif,Setif City,Studio,2,1,1,daily,"Parking,Wifi,Security 24/7",3000
34,1,2,Setif,Ain Arnat,Studio,1,0,1,monthly,"Pool,Wifi,Elevator,Security 24/7,Garden",15000
156,4,2,Constantine,Ali Mendjeli,Apartment,1,0,1,monthly,"Parking,Elevator",92500
131,5,2,Oran,Es Senia,Apartment,9,0,1,monthly,"Parking,Heating,Wifi,Elevator,Garden",104500
69,2,3,Oran,Oran City,Apartment,6,0,0,daily,"Heating,Wifi",2900
132,5,1,Algiers,Sidi M'Hamed,Apartment,4,1,0,monthly,"Pool,Air Conditioning,Garden,Security 24/7",178500
83,4,3,Oran,Bir El Djir,Apartment,5,1,0,monthly,"Garden,Parking,Heating,Security 24/7",94000
461,8,1,Oran,Bir El Djir,Villa,0,0,1,monthly,Pool,350500
129,4,2,Constantine,El Khroub,Apartment,3,0,0,daily,"Pool,Parking,Security 24/7,Air Conditioning,Garden",7200
151,5,1,Algiers,El Biar,Apartment,6,0,1,monthly,"Pool,Elevator",150000
327,5,1,Constantine,Constantine City,Villa,0,0,0,monthly,Air Conditioning,218500
457,8,2,Setif,El Eulma,Villa,0,0,1,monthly,"Wifi,Air Conditioning,Elevator",264500
34,1,2,M'Sila,Magra,Studio,0,0,1,monthly,"Elevator,Parking,Garden,Security 24/7",15000
139,2,3,M'Sila,Boussaada,Apartment,9,1,0,monthly,"Wifi,Security 24/7",59500
42,1,3,Oran,Oran City,Studio,0,0,0,monthly,Pool,24500
92,4,1,Constantine,Ali Mendjeli,Apartment,7,0,0,daily,Heating,6600
75,3,1,Oran,Bir El Djir,Apartment,0,0,1,daily,"Pool,Heating,Elevator",6200
62,5,2,Algiers,Sidi M'Hamed,Apartment,5,0,0,monthly,Pool,72000
90,5,3,Oran,Oran City,Apartment,9,0,1,daily,"Wifi,Pool,Parking,Elevator",6100
89,2,3,M'Sila,M'Sila City,Apartment,2,0,0,monthly,Air Conditioning,32500
85,5,2,Constantine,Ali Mendjeli,Apartment,1,1,1,daily,"Parking,Wifi,Elevator",6800
39,1,3,Oran,Oran City,Studio,3,0,0,monthly,"Air Conditioning,Parking,Garden,Security 24/7",29000
109,4,1,Constantine,El Khroub,Apartment,4,0,1,monthly,"Parking,Pool,Elevator",68000
71,5,3,Oran,Oran City,Apartment,1,0,0,daily,"Pool,Air Conditioning,Heating,Elevator",7800
83,3,1,Setif,El Eulma,Apartment,1,1,0,monthly,Garden,70000
152,3,1,Setif,El Eulma,Apartment,1,0,1,monthly,"Air Conditioning,Garden,Elevator",76000
306,7,2,Oran,Oran City,Villa,0,1,0,monthly,"Heating,Elevator",395500
79,4,3,Constantine,Ali Mendjeli,Apartment,7,1,0,monthly,"Parking,Heating,Wifi,Elevator,Garden",74000
257,7,3,Algiers,Sidi M'Hamed,Villa,0,0,0,monthly,"Air Conditioning,Garden",311000
160,2,2,Oran,Bir El Djir,Apartment,1,1,1,monthly,"Parking,Wifi,Heating,Air Conditioning,Elevator",142000
133,3,1,Algiers,El Biar,Apartment,6,1,1,monthly,"Parking,Wifi,Elevator,Air Conditioning,Garden",179000
29,1,2,Algiers,Hydra,Studio,0,0,0,monthly,"Elevator,Security 24/7",23500
94,2,1,Setif,Setif City,Apartment,5,0,0,monthly,"Air Conditioning,Security 24/7,Heating,Elevator",37000
128,3,3,Constantine,El Khroub,Apartment,5,1,0,monthly,"Pool,Heating,Security 24/7,Air Conditioning,Elevator",92500
148,4,3,M'Sila,Magra,Apartment,5,0,0,daily,"Air Conditioning,Pool,Garden,Wifi",3500
38,1,2,M'Sila,M'Sila City,Studio,0,0,1,daily,"Wifi,Heating,Elevator",1500
83,5,3,Constantine,Ali Mendjeli,Apartment,0,0,0,monthly,"Security 24/7,Heating,Elevator",72000
90,2,3,Setif,El Eulma,Apartment,9,1,0,monthly,"Pool,Heating,Security 24/7,Air Conditioning,Garden",56000
145,3,1,Setif,Ain Arnat,Apartment,7,0,0,daily,"Parking,Pool,Garden,Security 24/7",4000
90,5,3,Constantine,El Khroub,Apartment,6,0,0,monthly,"Pool,Security 24/7",60000
121,2,1,Oran,Es Senia,Apartment,1,0,0,monthly,"Garden,Pool,Elevator",78000
49,1,3,Algiers,Hydra,Studio,2,1,1,daily,"Pool,Heating",5000
115,4,2,Algiers,El Biar,Apartment,5,1,0,monthly,Pool,152000
108,5,2,M'Sila,M'Sila City,Apartment,6,0,0,monthly,"Heating,Pool,Elevator",39500
123,4,1,Setif,Setif City,Apartment,5,0,1,monthly,"Pool,Elevator",68500
50,1,3,M'Sila,Magra,Studio,0,0,1,monthly,Garden,16000
50,1,3,M'Sila,Boussaada,Studio,2,1,0,daily,"Pool,Parking,Wifi,Air Conditioning,Elevator",1500
195,8,2,M'Sila,Magra,Villa,0,1,0,monthly,"Air Conditioning,Pool,Garden,Wifi",171000
46,1,1,Constantine,Constantine City,Studio,2,1,0,monthly,Security 24/7,35000
151,4,3,Algiers,Sidi M'Hamed,Apartment,0,0,0,monthly,"Garden,Pool,Heating,Security 24/7",143000
44,1,3,Constantine,El Khroub,Studio,4,0,0,monthly,"Air Conditioning,Parking,Wifi,Elevator",16000
140,2,2,M'Sila,Boussaada,Apartment,7,0,1,monthly,"Elevator,Parking,Heating,Security 24/7",47000
149,2,1,Algiers,Sidi M'Hamed,Apartment,8,0,1,monthly,"Air Conditioning,Elevator",121500
134,2,3,Constantine,Ali Mendjeli,Apartment,8,0,1,monthly,"Heating,Air Conditioning,Wifi,Elevator",74000
65,3,2,Algiers,Bab Ezzouar,Apartment,5,1,0,monthly,"Parking,Pool,Wifi",94000
101,3,1,Oran,Akid Lotfi,Apartment,6,0,1,daily,"Pool,Parking,Heating,Security 24/7,Elevator",3500
438,6,3,Oran,Bir El Djir,Villa,0,0,0,monthly,"Pool,Wifi,Heating,Security 24/7,Elevator",323500
163,5,2,Oran,Akid Lotfi,Apartment,1,0,0,monthly,"Pool,Garden",117000
127,4,2,M'Sila,Boussaada,Apartment,5,0,0,daily,"Air Conditioning,Wifi,Elevator",2700
38,1,2,Algiers,Bab Ezzouar,Studio,4,1,1,monthly,"Pool,Wifi",45500
91,3,1,Oran,Akid Lotfi,Apartment,2,0,0,daily,Security 24/7,7300
36,1,2,Oran,Bir El Djir,Studio,2,1,0,daily,Security 24/7,1800
42,1,3,Constantine,Ali Mendjeli,Studio,3,0,0,monthly,"Air Conditioning,Pool,Elevator,Security 24/7",20000
214,4,2,Algiers,Sidi M'Hamed,Villa,0,1,1,daily,Security 24/7,57500
341,4,1,M'Sila,Magra,Villa,0,0,0,monthly,"Parking,Heating,Elevator,Security 24/7,Garden",142000
127,3,1,Oran,Es Senia,Apartment,5,1,0,monthly,"Parking,Wifi",117000
120,5,1,Constantine,El Khroub,Apartment,9,1,1,monthly,"Elevator,Security 24/7",124500
40,1,3,Algiers,Sidi M'Hamed,Studio,2,0,1,monthly,"Pool,Wifi,Heating,Air Conditioning,Garden",32000
118,3,3,Algiers,Bab Ezzouar,Apartment,4,0,0,monthly,"Heating,Pool,Garden,Elevator",91000
457,5,1,Oran,Bir El Djir,Villa,0,1,1,daily,"Pool,Parking,Wifi,Security 24/7,Elevator",47400
102,5,2,Setif,El Eulma,Apartment,3,1,0,monthly,Pool,101500
129,4,1,Algiers,Bab Ezzouar,Apartment,8,1,1,monthly,"Parking,Pool,Elevator",189000
132,5,1,Constantine,Constantine City,Apartment,2,0,0,monthly,"Garden,Heating,Elevator",83500
69,4,3,Oran,Bir El Djir,Apartment,5,0,0,monthly,"Parking,Garden,Security 24/7",58500
163,3,1,Oran,Oran City,Apartment,9,0,1,monthly,"Parking,Heating,Wifi,Air Conditioning,Elevator",110000
153,2,2,Algiers,Bab Ezzouar,Apartment,4,0,1,daily,"Elevator,Air Conditioning,Wifi,Security 24/7",9600
127,4,1,Setif,Setif City,Apartment,8,0,0,monthly,"Wifi,Garden",63500
145,2,1,Oran,Bir El Djir,Apartment,9,0,1,monthly,"Pool,Heating,Security 24/7,Air Conditioning,Elevator",92000
388,6,3,Setif,El Eulma,Villa,0,0,0,daily,"Pool,Parking,Heating",16600
404,8,3,M'Sila,Boussaada,Villa,0,1,0,monthly,"Garden,Parking,Heating,Elevator",256500
142,3,1,Algiers,Bab Ezzouar,Apartment,5,0,1,monthly,"Elevator,Security 24/7",120500
161,3,3,Constantine,Constantine City,Apartment,3,0,0,monthly,"Parking,Pool",85000
152,4,3,Constantine,El Khroub,Apartment,2,1,0,daily,"Garden,Security 24/7",8200
77,4,1,M'Sila,Boussaada,Apartment,2,1,1,monthly,"Wifi,Heating,Security 24/7,Elevator,Air Conditioning,Garden",53000
134,5,3,M'Sila,M'Sila City,Apartment,1,1,1,monthly,"Garden,Parking,Security 24/7,Air Conditioning,Elevator",88500
60,2,1,Setif,El Eulma,Apartment,8,0,0,monthly,"Parking,Heating,Security 24/7,Air Conditioning,Garden",30500
138,3,1,Algiers,Hydra,Apartment,7,0,0,monthly,"Garden,Heating,Security 24/7",105500
155,2,1,Constantine,El Khroub,Apartment,0,0,0,monthly,"Garden,Security 24/7,Wifi,Elevator",78000
86,5,3,Setif,Setif City,Apartment,8,1,1,monthly,"Parking,Wifi,Elevator",88500
37,1,3,M'Sila,Magra,Studio,3,0,0,monthly,"Parking,Garden",15000
160,5,1,Oran,Oran City,Apartment,3,0,0,monthly,"Pool,Wifi,Elevator,Air Conditioning,Garden",119500
141,4,1,Algiers,Hydra,Apartment,1,0,1,monthly,"Air Conditioning,Elevator,Security 24/7",137000
154,5,2,Setif,El Eulma,Apartment,1,1,0,monthly,"Pool,Garden,Security 24/7,Air Conditioning,Elevator",131500
132,2,3,Setif,El Eulma,Apartment,3,1,1,monthly,"Pool,Air Conditioning,Elevator",93000
38,1,1,M'Sila,M'Sila City,Studio,3,0,0,monthly,"Wifi,Elevator",15000
84,4,2,Constantine,Constantine City,Apartment,2,0,0,monthly,Parking,61000
31,1,3,Constantine,El Khroub,Studio,0,0,0,daily,"Parking,Heating",2300
202,8,3,Setif,Ain Arnat,Villa,0,0,1,monthly,Security 24/7,166000
149,3,1,Algiers,Zeralda,Apartment,7,1,1,daily,"Garden,Elevator",14000
41,1,1,Oran,Es Senia,Studio,3,0,0,daily,"Heating,Elevator,Security 24/7",2300
118,3,2,Oran,Oran City,Apartment,0,0,0,daily,Wifi,6500
29,1,1,Oran,Bir El Djir,Studio,1,0,1,monthly,Air Conditioning,18000
92,2,3,Algiers,Bab Ezzouar,Apartment,8,0,0,monthly,Parking,65500
115,2,1,Setif,El Eulma,Apartment,3,0,0,monthly,"Heating,Pool,Wifi,Security 24/7",56500
139,4,2,Constantine,El Khroub,Apartment,6,0,1,daily,"Air Conditioning,Elevator",7400
90,4,3,Setif,Ain Arnat,Apartment,8,0,0,monthly,"Pool,Parking,Wifi,Air Conditioning,Elevator",49500
31,1,1,Algiers,Hydra,Studio,0,0,1,monthly,"Parking,Heating,Wifi,Security 24/7,Air Conditioning",26500
40,1,1,Algiers,Sidi M'Hamed,Studio,1,0,1,daily,"Wifi,Pool,Garden,Security 24/7",1500
61,3,1,Constantine,Ali Mendjeli,Apartment,7,0,1,monthly,"Pool,Air Conditioning,Wifi,Elevator",42000
134,4,3,Oran,Akid Lotfi,Apartment,0,1,0,daily,"Parking,Wifi,Heating,Air Conditioning,Elevator",11000
132,3,1,Setif,Ain Arnat,Apartment,0,1,0,monthly,"Heating,Wifi,Security 24/7",101500
60,2,3,Oran,Akid Lotfi,Apartment,2,0,1,monthly,"Air Conditioning,Pool,Elevator,Security 24/7",37000
110,2,1,M'Sila,Magra,Apartment,3,0,1,monthly,"Elevator,Garden,Security 24/7",40500
92,5,3,Setif,Setif City,Apartment,9,1,0,monthly,"Parking,Air Conditioning",78000
